strain	species	date	region	country	location	host	group	collector	authors	title	journal	paper url
14.0008	Pst	19/05/2014	Europe	Austria	Groß-Enzersdorf	Sax	PstS7	Susanne Kirchmaier	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0009	Pst	22/05/2014	Europe	Austria	Gießhübl	Sax	PstS7	Susanne Kirchmaier	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0095	Pst	02/06/2014	Europe	Belgium	Koksijde	JB Asano	PstS10	Yves Decroos	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0096	Pst	02/06/2014	Europe	Belgium	Zwevegem	JB Asano	PstS10	Yves Decroos	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0097	Pst	02/06/2014	Europe	Belgium	Tiegem	JB Asano	PstS10	Yves Decroos	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0098	Pst	02/06/2014	Europe	Belgium	Mignault	Torch	PstS7	Yves Decroos	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0069	Pst	11/06/2014	Europe	Bulgaria	Novi Han	Enola	PstS7	Todor Manslov	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
15.0596	Pst	21/07/2015	North America	Canada	Lethbridge, Alberta	GYT3-190 DN	Other	Harpinder S. Randhawa	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0597	Pst	21/07/2015	North America	Canada	Lethbridge, Alberta	Morocco FF-B	Other	Harpinder S. Randhawa	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0604	Pst	21/07/2015	North America	Canada	Lethbridge, Alberta	Penhold	Other	Harpinder S. Randhawa	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0606	Pst	21/07/2015	North America	Canada	Lacombe, Alberta	HY2047	Other	Harpinder S. Randhawa	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0608	Pst	21/07/2015	North America	Canada	 St. Albert, Alberta	HY2042	Other	Harpinder S. Randhawa	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0609	Pst	21/07/2015	North America	Canada	Lacombe, Alberta	Yr31	Other	Harpinder S. Randhawa	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
Chile_18	Pst	24/11/2014	South America	Chile	Santa Rosa	Fito1401-87 cv. Pantera	Other	Ricardo Madariaga Burrows	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
Chile_3	Pst	24/11/2014	South America	Chile	Santa Rosa	Onix	Other	Ricardo Madariaga Burrows	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
Chile_30	Pst	06/12/2014	South America	Chile	Cajon	Taita	Other	Ricardo Madariaga Burrows	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
Chile_31	Pst	07/12/2014	South America	Chile	Los Tilos	Fito 1404-15	Other	Ricardo Madariaga Burrows	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
Chile_4	Pst	24/11/2014	South America	Chile	Santa Rosa	Onix	Other	Ricardo Madariaga Burrows	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
15.0573	Pst	July 2015	Asia	China	unknown	Unknown	Other	Suomeng Song	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0574	Pst	July 2015	Asia	China	unknown	Unknown	Other	Suomeng Song	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0579	Pst	July 2015	Asia	China	unknown	Unknown	Other	Suomeng Song	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0782	Pst	26/11/2016	Asia	China	Nanhu, Jiaxing	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
